% For a more comprehensive dataset with many more features check out the "Yacht/Motorboat Pricing Data (10,000+ listings)" dataset.
% Link below:
% https://www.kaggle.com/artemkorottchenko/large-boatyacht-pricing-dataset
% Context
% What are the most important features in determining the price of a new or used aircraft? Is it the aircraft type? Year? Manufacturer? Other characteristics? 
% This is one of many questions regarding the used/new aircraft markets I hope to answer with this dataset. 
% The dataset contains over 2000 aircraft that are for sale around the world. The data was scraped during July of 2020.
% Content
% The data was scraped from various websites using the Scrapy framework for Python. 
% Scrapy script:
% https://github.com/akorott/Aircraft-Scrapy-Script.git
% Content scraped:
%
% New/Used
% Price  
% Currency (USD, EUR, GBP)
% Category
% Year
% Make
% Model
% Location
% Serial number
% Registration number
% Total hours
% Engine 1 hours 
% Engine 2 hours 
% Prop 1 hours
% Prop 2 hours
% Total Seats
% Flight Rules
% National Origin
%
% Keep in mind that the data was scraped from 2 different sources. Some of the data (New/Used, Engine 1 hours, Engine 2 hours, Prop 1 hours, Prop 2 hours, Total Seats, Flight Rules) was only easily accessible on one source, thus is missing for part of the dataset. 
% FAQ
% Flight Rules: Visual Flight Rules (VFR) VS Instrument Flight Rules (IFR). In a nutshell, an aircraft equipped with IFR is one where a pilot can fully navigate an aircraft using instruments in the cockpit. Any aircraft flying over 18,000 feet, by law, has to be equipped with IFR equipment.
% BTH - Beyond the Horizon - according to my research, BTH means that an aircraft is equipped with a radar, but doesn't fully meet IFR criteria.
% VFR - (https://en.wikipedia.org/wiki/Visual_flight_rules)
% IFR - (https://en.wikipedia.org/wiki/Instrument_flight_rules)
% Some of the acronyms used within total hours, engine 1, engine 2, prop 1, prop 2 columns:
% SMOH - Since major overhaul
% SNEW - Since new
% SPOH - Since prop overhaul
% SFOH - Since factory overhaul (more reliable)
% SOH - Since overhaul
% STOH - Since top overhaul
% SFRM - Since factory re-manufactured
% Thank you for checking out this dataset and happy kaggling!  
@RELATION Aircraft-Pricing-Dataset

@ATTRIBUTE Condition STRING
@ATTRIBUTE Price STRING
@ATTRIBUTE Currency STRING
@ATTRIBUTE Category STRING
@ATTRIBUTE Year STRING
@ATTRIBUTE Make STRING
@ATTRIBUTE Model STRING
@ATTRIBUTE Location STRING
@ATTRIBUTE S/N STRING
@ATTRIBUTE REG STRING
@ATTRIBUTE Total_Hours STRING
@ATTRIBUTE Engine_1_Hours STRING
@ATTRIBUTE Engine_2_Hours STRING
@ATTRIBUTE Prop_1_Hours STRING
@ATTRIBUTE Prop_2_Hours STRING
@ATTRIBUTE Total_Seats REAL
@ATTRIBUTE Flight_Rules STRING
@ATTRIBUTE National_Origin STRING

@DATA
Used,'114,900 ',USD,'Single Engine Piston',1989,SOCATA,'TB-20 TRINIDAD','Farmingdale,\n                           NY\n                           USA',862,N2504B,3381,'1381 SMOH',?,'194 SOH',?,4.0,IFR,France
Used,'220,000 ',USD,'Single Engine Piston',1990,BEECHCRAFT,'A36 BONANZA 36','Stockton,\n                           CA\n                           USA',E2544,N858AL,6533,'1615 SNEW',?,'10 SPOH',?,?,?,'United States'
Used,'235,000 ',USD,'Single Engine Piston',1990,BEECHCRAFT,'F33A BONANZA','Burlington,\n                           ON\n                           CAN',CE1480,C-GMRZ,1942,'744 SNEW',?,'16 SPOH',?,4.0,IFR,'United States'
Used,'249,000 ',USD,'Single Engine Piston',1990,BEECHCRAFT,'F33A BONANZA','Scottsdale,\n                           AZ\n                           USA',CE1489,N15454,1196,'1196 HOURS',?,'1196 HOURS',?,5.0,BTH,'United States'
Used,'795,000 ',USD,Turboprop,1990,BEECHCRAFT,'KING AIR C90A','Oxford (KHNZ)',LJ-1235,N92FC,6150,'2552 SMOH','2552 SMOH','332 SPOH','332 SPOH',?,?,'United States'
Used,'105,000 ',USD,'Single Engine Piston',1990,AVIAT,HUSKY,'Clinton,\n                           MO\n                           USA',1138,N96042,2320,'366 SFOH',?,?,?,?,?,'United States'
Used,'52,500 ',USD,'Single Engine Piston',1990,'GLASAIR AVIATION','GLASAIR II FT','Walla Walla,\n                           WA\n                           USA',N-79TP,'Not Listed',695,695,?,15,?,?,VFR,'United States'
Used,'165,000 ',USD,'Single Engine Piston',1990,'MOONEY INTERNATIONAL CORP','M20K 252TSE','Portland,\n                           ME\n                           USA',25-1229,N10851,1583,'93 SMOH',?,?,?,?,IFR,'United States'
Used,'167,500 ',USD,'Single Engine Piston',1990,'MOONEY INTERNATIONAL CORP','M20M TLS BRAVO','Drums,\n                           PA\n                           USA','Not Listed',N9120D,4570,'200 SMOH',?,?,?,?,IFR,'United States'
?,'295,000 ',USD,'Single Engine Piston',1990,'PIPER AIRCRAFT','MALIBU MIRAGE','Arlington,\n                           TX\n                           USA','Not Listed',N9193Q,5026,'841 SFRM',?,?,?,?,?,'United States'
Used,'169,000 ',USD,'Piston Helicopters',1990,'ROBINSON HELICOPTER','R22 BETA',?,L253A,L253A,6845,?,?,?,?,?,?,'United States'
Used,'165,500 ',USD,'Single Engine Piston',1990,SOCATA,'TB-21 TC TRINIDAD','Manassas,\n                           VA\n                           USA',1039,N2804W,2420,'584 SMOH',?,'584 SNEW',?,4.0,IFR,France
Used,'179,000 ',USD,'Single Engine Piston',1991,BEECHCRAFT,'A36 BONANZA 36','Knoxville,\n                           TN\n                           USA',E2658,N8190G,7985,'1435 SNEW',?,'1500 SPOH',?,?,?,'United States'
Used,'118,000 ',USD,'Single Engine Piston',1993,'AMERICAN CHAMPION','8-KCAB SUPER DECATHLON','Roseburg,\n                           OR\n                           USA',724-93,N404JE,343,'343 SNEW',?,'343 SNEW',?,2.0,VFR,'United States'
Used,'1,795,000 ',USD,Turboprop,1993,BEECHCRAFT,'KING AIR 350','Muskegon,\n                           MI\n                           USA','Not Listed',N344L,7135,'10 SOH','10 SOH','10 SPOH','416 SPOH',8.0,?,'United States'
Used,'109,000 ',USD,'Single Engine Piston',1993,'PIPER AIRCRAFT','SUPER CUB','Michigan City,\n                           IN\n                           USA','Not Listed','Not Listed',517,517,?,?,?,?,?,'United States'
Used,'84,500 ',USD,'Single Engine Piston',1993,YAKOVLEV,'YAK 52','Canada\n                           \n                           USA','Not Listed','Not Listed',772,'772 SNEW',?,'15 SPOH',?,?,?,'Soviet Union'
Used,'299,000 ',USD,'Single Engine Piston',1994,BEECHCRAFT,'A36 BONANZA 36','Fayetteville,\n                           AR\n                           USA',E-2905,N1564D,934,'354 SMOH',?,'354 SPOH',?,6.0,IFR,'United States'
Used,'1,100,000 ',USD,'Private Jets',1994,BEECHCRAFT,'BEECHJET 400A','San Fernando\n                           \n                           ARG',RK-85,LV-FWF,6049,'2449 SMOH','2449 SMOH',?,?,?,?,'United States'
Used,'525,000 ',USD,'Turbine Helicopters',1994,'BELL TEXTRON','206B III','Canadian,\n                           TX\n                           USA','Not Listed','Not Listed',?,?,?,?,?,?,?,'United States'
Used,'189,000 ',USD,'Single Engine Piston',1994,'MOONEY INTERNATIONAL CORP','M20M TLS BRAVO','Stillwater,\n                           OK\n                           USA',27-0168,N9167J,1293,'297 SMOH',?,'297 SPOH',?,4.0,IFR,'United States'
Used,'385,000 ',USD,'Single Engine Piston',1994,'PIPER AIRCRAFT','MALIBU MIRAGE','Springdale,\n                           AR\n                           USA',4622169,N123TE,2760,'1450 SFOH',?,'50 SPOH',?,6.0,IFR,'United States'
Used,'55,000 ',USD,'Single Engine Piston',1994,'PIPER AIRCRAFT','PA-11 CUB SPECIAL','Hubbard,\n                           OR\n                           USA','Not Listed','Not Listed',596,'863 SMOH',?,?,?,2.0,VFR,'United States'
Used,'225,000 ',USD,'Multi Engine Piston',1994,'PIPER AIRCRAFT','SENECA IV','Orlando,\n                           FL\n                           USA',3448050,'Not Listed',3890,'100 SMOH','100 SMOH','200 SMOH','200 SMOH',6.0,IFR,'United States'
Used,'99,900 ',USD,'Piston Helicopters',1994,SCHWEIZER,300C,'Kenosha,\n                           WI\n                           USA',S-1684,'N 9787F',9223,280,?,?,?,?,BTH,'United States'
Used,'39,900 ',USD,'Single Engine Piston',1994,SOCATA,'TB-9 TAMPICO','Republic Airport    Farmingdale,\n                           NY\n                           USA',1644,N545PC,7946,'2004 SMOH',?,?,?,4.0,IFR,France
Used,'450,000 ',USD,'Single Engine Piston',1994,YAKOVLEV,'YAK 3M','Camarillo,\n                           CA\n                           USA',470104,N529SB,250,'25 SMOH','25 SMOH','250 SPOH',?,1.0,?,'Soviet Union'
Used,'89,900 ',USD,'Single Engine Piston',1995,AVIAT,'HUSKY A-1','NC\n                           USA','Not Listed',N49372,4777,'959 SMOH',?,'959 SPOH',?,?,?,'United States'
Used,'325,000 ',USD,Turboprop,1995,AYRES,S2R-G6,'Hayti,\n                           MO\n                           USA',G6-121,N3160M,11024,?,?,?,?,?,?,'United States'
Used,'1,295,000 ',USD,Turboprop,1995,BEECHCRAFT,'KING AIR 350','AZ\n                           USA','Not Listed','Not Listed',3105,?,?,?,?,11.0,?,'United States'
Used,'155,000 ',USD,'Single Engine Piston',1995,BELLANCA,'17-30A SUPER VIKING (1979 AND NEWER)','Birmingham,\n                           AL\n                           USA','Not Listed',N288SV,400,'400 SNEW',?,'400 SNEW',?,4.0,BTH,'United States'
Used,'1,965,000 ',USD,'Private Jets',1995,CESSNA,'CITATION V ULTRA','West Palm Beach,\n                           FL\n                           USA',560-0316,120QM,3597,'38 SOH','38 SOH',?,?,?,?,'United States'
Used,'69,000 ',USD,'Single Engine Piston',1995,'DIAMOND AIRCRAFT INDUSTRIES','DA20-A1 KATANA','Galesburg,\n                           IL\n                           USA',10081,N521SS,3230,'137 SNEW',?,137,?,2.0,?,AUSTRIA
Used,'73,000 ',USD,'Single Engine Piston',1995,'MAULE AIR',MX-7-180A,'MI\n                           USA','Not Listed',N3114C,503,'503 SNEW',?,'503 SNEW',?,?,?,'United States'
Used,'199,900 ',USD,'Single Engine Piston',1995,'MOONEY INTERNATIONAL CORP','M20M TLS BRAVO','Oklahoma City,\n                           OK\n                           USA',M20M-208,N9163C,720,720,?,'13 SNEW',?,?,IFR,'United States'
Used,'149,500 ',USD,'Single Engine Piston',1995,QUESTAIR,VENTURE,'Daytona Beach,\n                           FL\n                           USA',44,N94Y,1600,'1311 SNEW',?,'1000 SPOH',?,2.0,?,'United States'
Used,'25,000 ',USD,'Single Engine Piston',1996,AMD,'ALARUS CH2000','Stuart,\n                           FL\n                           USA',20-0015,N536CB,800,'800 SNEW',?,'800 SNEW',?,?,?,'United States'
Project,'25,000 ',USD,'Single Engine Piston',1996,AVID,MAGNUM,'Fort Collins,\n                           CO\n                           USA',M46,?,'0 SMOH','0 SMOH',?,?,?,2.0,?,'United States'
Used,'1,245,000 ',USD,'Private Jets',1996,CESSNA,'CITATION V ULTRA','New Richmond,\n                           WI\n                           USA',560-0359,N416BA,6546,'3007 SMOH','3016 SMOH',?,?,9.0,?,'United States'
Used,'210,000 ',USD,'Single Engine Piston',1996,'EXTRA FLUGZEUGBAU','EA 300/200','Palatka,\n                           FL\n                           USA',4,N960SS,875,'875 HOURS',?,?,?,2.0,VFR,Germany
Used,'239,900 ',USD,'Single Engine Piston',1996,'PIPER AIRCRAFT','SARATOGA II HP','Lexington,\n                           KY\n                           USA',3246032,N330TF,2923,'932 SMOH',?,'932 SPOH',?,6.0,IFR,'United States'
Used,'100,000 ',USD,'Piston Helicopters',1996,'ROBINSON HELICOPTER','R22 BETA II','NH\n                           USA','Not Listed','Not Listed','26 HOURS','26 HOURS',?,?,?,?,?,'United States'
Used,'420,000 ',USD,Turboprop,1997,AYRES,'S2R SERIES','Hayti,\n                           MO\n                           USA',G10-145,N773CC,6500,'1813 HOURS',?,'400 SPOH',?,?,?,'United States'
Used,'395,000 ',USD,'Multi Engine Piston',1997,BEECHCRAFT,'58 BARON','Fayetteville,\n                           AR\n                           USA',TH-1836,N521W,6129,'867 SMOH','893 SMOH','343 SPOH','1183 SPOH',6.0,IFR,'United States'
Used,'325,000 ',USD,'Single Engine Piston',1997,BEECHCRAFT,'A36 BONANZA 36','Greensboro,\n                           NC\n                           USA',E-3105,N51ML,2540,'925 SMOH',?,'55 SNEW',?,?,?,'United States'
Used,'2,150,000 ',USD,Turboprop,1997,BEECHCRAFT,'KING AIR 350','Lexington,\n                           KY\n                           USA',FL179,N350S,6600,'2132 SOH','2493 SOH','1842 SOH','1785 SOH',?,?,'United States'
Used,'1,395,000 ',USD,Turboprop,1997,BEECHCRAFT,'KING AIR C90B','Lincoln,\n                           NE\n                           USA',LJ-1477,N8FH,4408,'770 SNEW','770 SNEW','1199 SNEW','1199 SNEW',6.0,IFR,'United States'
Used,'148,900 ',USD,'Single Engine Piston',1997,CESSNA,172,'Clearwater,\n                           FL\n                           USA',17280208,N9968F,7520,'895 SOH',?,?,?,4.0,?,'United States'
Used,'119,500 ',USD,'Single Engine Piston',1997,CESSNA,'172R SKYHAWK','Princeton,\n                           NJ\n                           USA','Not Listed',N172FW,8400,'3620 SMOH',?,?,?,4.0,?,'United States'
Used,'1,250,000 ',USD,'Private Jets',1997,CESSNA,'CITATION V ULTRA','Calgary\n                           \n                           CAN',560-0444,C-GKZT,12690,'1537 SMOH','1368 SMOH',?,?,?,?,'United States'
Used,'189,900 ',USD,'Single Engine Piston',1997,'GLASAIR AVIATION','GLASAIR III RG','San Carlos,\n                           CA\n                           USA',3270,N115DK,785,'785 SMOH',?,'785 SMOH',?,2.0,IFR,'United States'
Used,'725,000 ',USD,'Private Jets',1997,LEARJET,31A,'Tampa,\n                           FL\n                           USA',132,N929JH,7841,'742 MPI','742 MPI',?,?,?,IFR,'United States'
Used,'485,000 ',USD,'Single Engine Piston',1997,'PIPER AIRCRAFT','MALIBU MIRAGE','Hollywood,\n                           FL\n                           USA','Not Listed',N9280K,3550,'370 SOH',?,?,?,?,?,'United States'
Used,'265,000 ',USD,'Single Engine Piston',1997,'PIPER AIRCRAFT','SARATOGA II HP','Franklin,\n                           VA\n                           USA',3246088,N9298P,3094,'878 SOH',?,'878 SOH',?,5.0,IFR,'United States'
Used,'129,000 ',USD,'Single Engine Piston',1997,'WACO AIRCRAFT COMPANY',YMF-5,'Brisbane,\n                           QLD\n                           AUS',F5050,VH-YOW,971,'971 SMOH',?,971,?,3.0,?,'United States'
Used,'695,000 ',USD,'Single Engine Piston',1997,YAKOVLEV,'YAK 9-UM','DE\n                           USA',470404,N6373Y,603,'300 SMOH',?,'300 SMOH',?,2.0,?,'Soviet Union'
Used,'1,199,000 ',USD,'Private Jets',1998,'GULFSTREAM AIRSPACE',SPX,'Rochester,\n                           NY\n                           USA',97,N363NH,6529,'6286 SNEW','6381 SNEW',?,?,?,IFR,'United States'
Used,'110,000 ',USD,'Single Engine Piston',1998,AVIAT,'HUSKY A-1A','Boynton Beach,\n                           FL\n                           USA',1418,N27BE,2002,60,?,60,?,2.0,VFR,'United States'
Used,'155,000 ',USD,'Single Engine Piston',1998,AVIAT,'HUSKY A-1A','Canning,\n                           NS\n                           CAN',1411,C-FIAL,957,?,?,?,?,2.0,VFR,'United States'
Used,'150,000 ',USD,'Single Engine Piston',1998,AVIAT,'PITTS S2-C','Medicine Hat,\n                           AB\n                           CAN',6001,'C - GOJJ',1084,'38 SOH',?,'28 SOH',?,2.0,VFR,'United States'
Used,'375,000 ',USD,'Single Engine Piston',1998,BEECHCRAFT,'A36 BONANZA 36','Lago Vista,\n                           TX\n                           USA',E-3181,N757AM,2350,'450 SMOH',?,'450 SMOH',?,6.0,IFR,'United States'
Used,'335,000 ',USD,'Single Engine Piston',1998,BEECHCRAFT,'A36 BONANZA 36','Greensboro,\n                           NC\n                           USA',E-3201,N3054A,1235,'1235 SNEW',?,?,?,?,?,'United States'
Used,'1,795,000 ',USD,Turboprop,1998,BEECHCRAFT,'KING AIR C90B','Auburn,\n                           IN\n                           USA',LJ-1504,N632MT,4414,1506,1506,1499,1499,?,IFR,'United States'
Used,'4,000,000 ',USD,'Private Jets',1998,BOEING,737-500,'Belgrade\n                           \n                           SRB',28916,VQ-BOO,29349,'42692 SNEW','33093 SNEW',?,?,56.0,BTH,'United States'
Used,'159,000 ',USD,'Single Engine Piston',1998,CESSNA,'172R SKYHAWK','MURRIETA,\n                           CA\n                           USA','Not Listed','Not Listed',?,?,?,?,?,4.0,IFR,'United States'
Used,'139,900 ',USD,'Single Engine Piston',1998,CESSNA,'172R SKYHAWK','Princeton,\n                           NJ\n                           USA','Not Listed',N2245U,8200,'400 SMOH',?,?,?,4.0,?,'United States'
?,'154,900 ',USD,'Single Engine Piston',1998,LANCAIR,IV,'Concord,\n                           CA\n                           USA',LIV190,N1228E,1200,'1200 HOURS',?,'1200 HOURS',?,?,?,'United States'
Used,'275,000 ',USD,'Single Engine Piston',1998,LANCAIR,IV-P,'Pensacola,\n                           FL\n                           USA',LIV-281,N848E,398,'381 SNEW',?,'10 SPOH',?,4.0,IFR,'United States'
Used,'85,500 ',USD,'Single Engine Piston',1998,'MAULE AIR',MXT-7-180,'OH\n                           USA','Not Listed',N1048Q,393,'393 SNEW',?,'393 SNEW',?,?,?,'United States'
Used,'239,000 ',USD,'Single Engine Piston',1998,'MOONEY INTERNATIONAL CORP','M20K ENCORE','Salt Lake City,\n                           UT\n                           USA',25-2020,N998EC,1900,'1250 SMOH',?,'850 SMOH',?,4.0,BTH,'United States'
Used,'420,000 ',USD,'Single Engine Piston',1998,'PIPER AIRCRAFT','MALIBU MIRAGE','Bend,\n                           OR\n                           USA',4636186,N4133G,1490,'1490 SNEW',?,'1490 SNEW',?,?,?,'United States'
Used,'289,900 ',USD,'Single Engine Piston',1998,'PIPER AIRCRAFT','SARATOGA II HP','Lexington,\n                           KY\n                           USA',3246100,N416TS,2060,'46 SMOH',?,'46 SNEW',?,?,?,'United States'
Used,'155,000 ',USD,'Piston Helicopters',1998,'ROBINSON HELICOPTER','R22 BETA II','CA\n                           USA','Not Listed','Not Listed',7083,?,?,482,?,2.0,VFR,'United States'
Used,'65,000 ',USD,'Single Engine Piston',1998,'Steen Aero Lab Inc',SKYBOLT,'Smithfield,\n                           VA\n                           USA','Not Listed',N198RR,302,'357 SMOH','1489 SNEW',?,?,2.0,VFR,'United States'
Used,'342,000 ',USD,Turboprop,1998,AYRES,400,'Americus,\n                           GA\n                           USA','Not Listed','Not Listed',7100,0,?,'0 SPOH',?,?,?,'United States'
Used,'34,000 ',USD,'Single Engine Piston',1998,ZENAIR/ZENITH,'ZODIAC CH 601 HDS','Thomaston,\n                           GA\n                           USA','Not Listed',N601JW,290,'290 SNEW',?,'290 SNEW',?,2.0,VFR,Canada
Used,'330,000 ',USD,Turboprop,1999,'AIR TRACTOR',AT-402B,'Hayti,\n                           MO\n                           USA',402B-1095,N51967,7922,'8950 HOURS',?,?,?,?,?,'United States'
Used,'82,000 ',USD,'Single Engine Piston',1999,'AMERICAN CHAMPION','7-GCAA ADVENTURE','Houston,\n                           TX\n                           USA','Not Listed',N7407F,1370,'1370 SNEW',?,'1370 SNEW',?,?,?,'United States'
Used,'319,000 ',USD,'Single Engine Piston',1999,BEECHCRAFT,'B36TC BONANZA','Tampa,\n                           FL\n                           USA',EA-640,N2226L,1360,'1360 SNEW',?,'791 SPOH',?,6.0,IFR,'United States'
Used,'2,750,000 ',USD,Turboprop,1999,BEECHCRAFT,'KING AIR 350','Chattanooga,\n                           TN\n                           USA',FL-233,N950TM,5503,'5437 SNEW','5457 SNEW','228 SNEW','228 SNEW',?,IFR,'United States'
Used,'465,000 ',USD,'Single Engine Piston',1999,CESSNA,'206H STATIONAIR','Canada,\n                           QC\n                           CAN','Not Listed','Not Listed',1000,'1 SMOH',?,'1 SPOH',?,6.0,?,'United States'
Used,'189,500 ',USD,'Single Engine Piston',1999,'MAULE AIR',M-7-260C,'Arlington,\n                           TX\n                           USA','Not Listed',N4003A,551,'215 SMOH',?,?,?,?,?,'United States'
Used,'185,000 ',USD,'Single Engine Piston',1999,'MOONEY INTERNATIONAL CORP','M20M BRAVO','AUSTIN,\n                           TX\n                           USA','Not Listed',N49FM,747,'747 SNEW',?,'747 SNEW',?,4.0,IFR,'United States'
Used,'175,000 ',USD,'Single Engine Piston',1999,'MOONEY INTERNATIONAL CORP','M20S EAGLE','Chatham,\n                           MA\n                           USA',30-0014,N57DM,1506,'948 SFRM',?,?,?,4.0,IFR,'United States'
Used,'479,900 ',USD,'Single Engine Piston',1999,'PIPER AIRCRAFT','MALIBU MIRAGE','Lexington,\n                           KY\n                           USA',4636228,N997MJ,2510,'1352 SFRM',?,'522 SPOH',?,?,?,'United States'
Used,'445,000 ',USD,'Single Engine Piston',1999,'PIPER AIRCRAFT','MALIBU MIRAGE','Brainerd,\n                           MN\n                           USA',4636194,N311KF,2840,'30 SOH',?,'200 SPOH',?,?,?,'United States'
Used,'76,000 ',USD,'Single Engine Piston',2000,'ASHCRAFT AERO WORKS',DR-109,'Fargo, ND,\n                           ND\n                           USA','Not Listed','Not Listed',0,'946 SNEW','11 STOH','0 SOH',?,2.0,VFR,'United States'
Used,'175,000 ',USD,'Piston Helicopters',2000,'ROBINSON HELICOPTER','R44 RAVEN I','Culpeper,\n                           VA\n                           USA','Not Listed',N630MS,3690,2000,?,?,?,4.0,VFR,'United States'
Used,'186,930 ',USD,'Piston Helicopters',2000,SCHWEIZER,300CB,'Fort Lauderdale,\n                           FL\n                           USA',112,N504JN,1855,?,?,?,?,2.0,IFR,'United States'
Used,'170,000 ',USD,'Single Engine Piston',2000,'SEAWIND LLC',3000,'Fort Lauderdale,\n                           FL\n                           USA','Not Listed',N80CC,667,'561 SMOH',?,?,?,4.0,IFR,'United States'
Used,'239,500 ',USD,'Single Engine Piston',2000,SOCATA,'TB-21 TRINIDAD','Philippi,\n                           WV\n                           USA','Not Listed',N824GT,890,'190 SNEW',?,'190 SNEW',?,?,?,France
Used,'79,000 ',USD,'Single Engine Piston',2000,STAUDACHER,S300,'Asheville Regional Airport (KAVL),\n                           NC\n                           USA',11,N327MS,448,'448 SMOH',?,?,?,?,?,?
Used,'65,000 ',USD,'Single Engine Piston',2000,'VAN\'S AIRCRAFT',RV-6/6A,'WALLA WALLA,\n                           WA\n                           USA',24489,427SD,?,?,?,?,?,?,?,'United States'
Used,'126,000 ',USD,'Single Engine Piston',2000,'VELOCITY INC','VELOCITY XL-RG','Leesburg,\n                           FL\n                           USA','Not Listed',N711D,98,'98 HOURS',?,10,?,4.0,VFR,'United States'
Used,'225,000 ',USD,'Single Engine Piston',2001,'AMERICAN CHAMPION','8-GCBC SCOUT','LA\n                           USA','Not Listed',N561DM,800,'800 SNEW',?,'800 SNEW',?,?,?,'United States'
Used,'159,900 ',USD,'Single Engine Piston',2001,BELLANCA,'17-30A SUPER VIKING (1979 AND NEWER)','Vero Beach,\n                           FL\n                           USA',00-301030,N27LE,542,'542 SNEW',?,'274 SNEW',?,?,?,'United States'
Used,'309,000 ',USD,'Single Engine Piston',2001,CESSNA,T206H,'Greensboro,\n                           NC\n                           USA',T20608273,N2456Q,2175,'2175 SNEW',?,'1500 SPOH',?,?,?,'United States'
Used,'369,000 ',USD,'Single Engine Piston',2001,CESSNA,T206H,'Stuart,\n                           FL\n                           USA',T20608304,N742HM,879,'879 SNEW',?,'131 SNEW',?,?,IFR,'United States'
?,'199,900 ',USD,'Single Engine Piston',2001,CIRRUS,SR22,'Phillipsburg,\n                           OH\n                           USA',42,C-GZZG,1637,'1637 HOURS',?,'147 SPOH',?,?,IFR,'United States'
Used,'219,500 ',USD,'Single Engine Piston',2001,CESSNA,300,'Bentonville,\n                           AR\n                           USA',40031,N927MB,1825,'500 SNEW',?,'500 SMOH',?,4.0,IFR,'United States'
Used,'250,000 ',USD,'Single Engine Piston',2001,LANCAIR,IV-P,'Lacon,\n                           IL\n                           USA',LIV-419,N434DK,790,'330 SMOH',?,'130 SPOH',?,4.0,IFR,'United States'
Used,'229,000 ',USD,'Single Engine Piston',2001,LANCAIR,LEGACY,'Vero Beach,\n                           FL\n                           USA',L2K-123,N975RA,1126,'1126 SNEW',?,'1126 SNEW',?,?,?,'United States'
Used,'129,900 ',USD,'Single Engine Piston',2001,'PIPER AIRCRAFT',ARROW,'Miami,\n                           FL\n                           USA',28-44049,N53276,8558,'1678 SNEW',?,'1678 SNEW',?,4.0,IFR,'United States'
Used,'114,000 ',USD,'Single Engine Piston',2001,'PIPER AIRCRAFT',ARROW,USA,28-44044,N5325U,6452,158,?,'521 SOH',?,?,?,'United States'
Used,'45,000 ',USD,'Single Engine Piston',2001,'PIPER AIRCRAFT','ARROW IV','Mesa,\n                           AZ\n                           USA',2844062,N4184M,11999,'477 SNEW',?,'2061 SMOH',?,4.0,IFR,'United States'
Used,'260,000 ',USD,'Piston Helicopters',2001,'ROBINSON HELICOPTER','R44 RAVEN I','St Augustine,\n                           FL\n                           USA',L229E,L229E,7443,?,?,?,?,4.0,?,'United States'
Used,'235,000 ',USD,'Single Engine Piston',2001,SOCATA,'TB-21 GT TRINIDAD','Burlington,\n                           ON\n                           CAN',2065,C-GTBS,214,214,?,4,?,?,IFR,France
Used,'1,495,000 ',USD,'Private Jets',2002,BEECHCRAFT,'BEECHJET 400A','Cleveland,\n                           OH\n                           USA',RK-339,N404LR,2981,'2941 SNEW','2981 SNEW',?,?,?,IFR,'United States'
Used,'189,000 ',USD,'Single Engine Piston',2002,CESSNA,'172S SKYHAWK SP','Clearwater,\n                           FL\n                           USA',172S9025,N5148V,5706,'470 SMOH',?,?,?,4.0,?,'United States'
Used,'190,000 ',USD,'Single Engine Piston',2002,CIRRUS,SR20,'Palo Alto,\n                           CA\n                           USA',1165,N193WT,1194,?,?,?,?,4.0,?,'United States'
Used,'114,900 ',USD,'Single Engine Piston',2002,CIRRUS,SR20,'KBEH,\n                           MI\n                           USA',1207,N871CD,2000,'2000 SNEW',?,'2000 SNEW',?,?,?,'United States'
Used,'179,900 ',USD,'Single Engine Piston',2002,CIRRUS,SR20,'Phillipsburg,\n                           OH\n                           USA',1228,N1212Z,1875,'197 HOURS',?,'445 HOURS',?,?,?,'United States'
Used,'209,900 ',USD,'Single Engine Piston',2002,CIRRUS,SR22,'Mountain Home,\n                           ID\n                           USA',433,N385C,1751,'5 HOURS',?,'1751 HOURS',?,?,?,'United States'
?,'184,900 ',USD,'Single Engine Piston',2002,CIRRUS,SR22,KCHD,206,N41XP,1066,'1066 HOURS',?,'1066 HOURS',?,?,?,'United States'
Used,'197,500 ',USD,'Single Engine Piston',2002,CIRRUS,SR22,'Stuart,\n                           FL\n                           USA',209,N200LB,1189,'1189 SNEW',?,'1189 SNEW',?,4.0,IFR,'United States'
Used,'575,000 ',USD,'Single Engine Piston',2002,'EXTRA FLUGZEUGBAU','EA 400','Bellingham,\n                           WA\n                           USA',23,N70HG,299,'5 SMOH',?,'197 SPOH',?,6.0,BTH,Germany
Used,'157,000 ',USD,'Single Engine Piston',2002,'MAULE AIR',MT-7-260,'BLUE RIDGE,\n                           TX\n                           USA',27010C,N260JC,850,'850 SNEW',?,'850 SNEW',?,5.0,IFR,'United States'
Used,'30,000 ',USD,'Single Engine Piston',2002,'Blue Yonder Aviation','MERLIN GT','Weatherford,\n                           TX\n                           USA',43,1081H,385,'385 SNEW',?,'50 SNEW',?,2.0,VFR,Canada
Used,'75,000 ',USD,'Single Engine Piston',2002,'PIPER AIRCRAFT','ARROW IV','Mesa,\n                           AZ\n                           USA',2844078,N5353G,11639,'25 SNEW',?,'1233 SMOH',?,4.0,?,'United States'
?,'279,900 ',USD,'Single Engine Piston',2002,'PIPER AIRCRAFT','SARATOGA II TC (1998 - 2008)','Louisburg,\n                           NC\n                           USA',3257267,N770W,1762,'1762 SNEW',?,'678 SPOH',?,?,?,'United States'
